"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"GGG Pony";"Olive";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001299548"
"ViaVia";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308356"
"W4tler Eisbär";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000896465"
"Kommod Flex";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044590"
"W4tler Eisbär";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474199"
"W4tler Eisbär";"orange";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001321607"
"Mustang";"Schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160114"
"Lucy in the Sky Damen";"magnolia";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001458310"
"Wirbelwind";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000963976"
"Wilderer";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000547336"
"Tramper Flex";"schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000095530"
"Kommod Flex";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000901817"
"GN Sandale";"flachs neu";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000923451"
"Rückenwind";"flachs neu";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964454"
"Herr Sommer";"denim";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001064825"
"GN Kletter";"flachs neu";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000922430"
"Wirbelwind";"flachs neu";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000964119"
"GN Sandale";"weiche Sohle flachs new";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001345535"
"Papallona";"tricolor";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001458846"
"Tramper Flex";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000095714"
"Phönix";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631455"
"GGG Art 9";"flachs neu";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000906911"
"G10 Chui";"josta";"1";"28";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001223192"
"Sommersperber";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000992365"
"Frau Neuner";"Curry";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001277058"
"Wilderer";"schoko";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000960531"
"G10 Chui";"rose";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000797588"
"GN Kletter";"weiche Sohle rose";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000803647"
"Rückenwind Vegan";"Grau";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001021668"
"Ansa";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178027"
"Kommod Flex";"schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000041056"
"Lucy in the Sky Herren";"timber";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001304693"
"Wirbelwind";"Weiß";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001461686"
"Frau Sommer";"rosso";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001456149"
"G10 Twinni";"schlehe";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001201374"
"Flexwind";"timber";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001212998"
"Herr Sommer";"schoko";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001064900"
"Air Danubius";"timber";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001240380"
"Sommertramper";"schoko";"F";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068779"
"GN Winterschuh";"blau";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000620114"
"Klox";"barrel";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001458051"
"G10 Chui";"josta";"1";"29";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001223208"
"G10 Chui";"shadow";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001110614"
"VIA Andante";"schwarz";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176443"
"Ansa";"timber";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001195352"
"Mustang";"Schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160152"
"Kommod Flex";"jaques dunkelbraun";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000045191"
"GN Winterschuh";"blau";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000619934"
"Tramper Flex";"jaques schwarz";"F";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000960036"
"Phönix";"schwarz";"F";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000646633"
"Air Line";"Schwarz";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001204801"
"Tramper Flex";"jaques dunkelbraun";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111490"
"Mustang";"Schwarz";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160084"
"Jaga Flex";"jaques dunkelbraun";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163635"
"G10 Nie mehr kalt";"shadow/kimber";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209721"
"Frau Neuner";"Olive";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001276976"
"W4tler Eisbär";"schwarz, Fell grau";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000501734"
"Jaga Flex";"jaques schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166513"
"G10 Chui";"josta";"1";"34";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001223499"
"Phönix";"jaques dunkelbraun";"H";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000632292"
"warmer Wind";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000000914695"
"Air Danubius";"crazy blue";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001454145"
"Jaga Flex";"jaques schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166810"
"Rosa Lux";"schwarz";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000450018"
"Kommod Flex";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044774"
"GGG Wüdling";"Olive";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001299708"
"Simba";"türkis";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"21,00 €";"2000001159545"
"Ansa";"pull up braun";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001454350"
"Wind";"soft black";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000184579"
"GN Schnürer";"weiche Sohle rose";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000804156"
"GGG Art 9";"rose";"1";"29";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001232354"
"Rückenwind";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964430"
"Rückenwind";"orange chili";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460436"
"GN Winterschuh";"flachs neu";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000907239"
"Kommod Flex";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000901602"
"GN Winterstiefel";"violett";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001299975"
"G10 Nie mehr kalt";"shadow/kimber";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001209684"
"Ansa";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001355923"
"Wilderer";"schoko";"F";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000960463"
"G10 Wingu 35-40";"cherry";"1";"35";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"54,50 €";"2000001119099"
"Tramper Flex";"jaques dunkelbraun";"H";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"3";"Paar";"294,00 €";"2000000112633"
"Lerche";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000389950"
"Kommod Flex";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000042077"
"G10 Twiga";"rose";"1";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000798691"
"W4tler Eisbär";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000896441"
"Papallona";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000452234"
"Phönix";"flachs neu";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000894775"
"Rückenwind";"jaques schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964614"
"Wirbelwind";"nougat";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001304235"
"Kommod Flex";"jaques dunkelbraun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"160,00 €";"2000000045375"
"G10 Chui";"rose";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000797793"
"Kommod Flex";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000041353"
"Flexwind";"josta";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001213292"
"Südpol";"mocha";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001357286"
"Kommod Flex";"schwarz";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000042251"
"Phönix";"schwarz";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000646510"
"Tramper Flex";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"196,00 €";"2000000112091"
"GGG Art 10";"denim";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103944"
"VIA Andante";"schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176405"
"Tramper Flex";"denim";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001218013"
"ViaVia";"schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308264"
"GN Kletter";"weiche Sohle flachs new";"0";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320730"
"Eiswind";"crazy blue";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000001358658"
"Südpol";"flachs neu";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000914176"
"GN Kletter";"Varianten GN Kletter";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001210673"
"GN Sandale";"weiche Sohle flachs new";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001345559"
"ViaVia";"mocha";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001357774"
"GGG Art S1";"josta, ALT";"1";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000925110"
"Wind";"soft black";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000184692"
"Kommod Flex";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044538"
"Ronny";"oliv";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001278802"
"Mustang";"Schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160138"
"Kommod Flex";"flachs neu";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000967783"
"VIA Andante";"weinrot";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001187241"
"Ronny";"flachs new";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001459157"
"G10 Chui";"froschgrün";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001277928"
"Kommod Classic";"Schwarz";"H";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207193"
"Rückenwind";"jaques schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964607"
"Bronco";"Schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001298831"
"Kommod Flex";"calla";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001180952"
"Südpol";"mocha";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001357248"
"G10 Twiga";"blattgrün";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209479"
"Phönix mit Vario-Fußbett";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000034034"
"Sommertramper";"flachs neu";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000896267"
"G10 Twiga";"flachs neu";"1";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000901275"
"Phönix";"jaques dunkelbraun";"H";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000632117"
"W4tler Eisbär";"schwarz, Fell grau";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502632"
"Rosa Lux";"nougat";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001105948"
"Tramper Flex";"barrel";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001357491"
"G10 Chui";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000904214"
"GN Winterstiefel";"rosa ceresa";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001008324"
"warmer Wind";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000000914633"
"Ronny";"oliv";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001278789"
"Eight days a week Damen";"light rose";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001240762"
"GGG Pony";"shadow";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210307"
"Wilderer";"schoko";"F";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000960579"
"GN Sandale";"flachs neu";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000923420"
"Kommod Classic";"Schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207735"
"Lady Free";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001213858"
"G10 Chui";"kimber";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001241714"
"Lady JaJa";"mocha";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"88,50 €";"2000001356777"
"Ansa";"jaques dunkelbraun";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178089"
"GN Kletter";"weiche Sohle schlehe";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001355503"
"Wirbelwind";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000963969"
"G10 Chui";"froschgrün";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001277904"
"Klox";"kiwi";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"132,00 €";"2000001241134"
"Sommertramper";"schoko";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068830"
"Frau Neuner";"Curry";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001277027"
"Rückenwind";"denim";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001075418"
"Tramper Flex";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111971"
"GN Winterstiefel";"blau";"0";"19";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000623177"
"G10 Chui";"flachs neu";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000901220"
"GN Schnürer";"blau";"0";"22";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"24,50 €";"2000000339115"
"Lord Slane Flex";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000895000"
"GGG Art 10";"denim";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103906"
"Ansa";"jaques schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148518"
"Mustang";"Schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160039"
"GGG Art S2m";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923789"
"GGG Art 9";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000906850"
"Sommertramper";"green";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001302293"
"G10 Chui";"flachs neu";"1";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000901879"
"Lucy in the Sky Herren";"timber";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001304709"
"Jaga Flex";"jaques dunkelbraun";"F";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163512"
"G10 Chui";"flachs neu";"1";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000901183"
"Air Danubia";"schlehe";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001204382"
"ViaVia";"mocha";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001357712"
"Wirbelwind";"nougat";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001304266"
"GGG Art S2";"rose";"1";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000801810"
"GN Kletter";"weiche Sohle treetop";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001358832"
"Herr Sommer";"monks robe";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001343753"
"G10 Twiga";"flachs neu";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000901503"
"Jaga Flex";"jaques schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166391"
"W4tler Eisbär";"jaques dunkelbraun";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"206,00 €";"2000000473659"
"Kommod Flex";"jaques dunkelbraun";"H";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000043692"
"Bronca";"jaques dunkelbraun";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001159385"
"G10 Nie mehr kalt";"violett";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001299036"
"GN Sandale";"weiche Sohle flachs new";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001345542"
"Phönix";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000894874"
"Phönix";"schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000646213"
"GGG Art S1";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000990279"
"G10 Twiga";"rose";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000798639"
"Lerche";"schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000390376"
"Klox";"josta";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001065945"
"Air Line";"Schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001204863"
"GGG Pony";"Olive";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001299487"
"Jaga Flex";"jaques schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166636"
"Eight days a week Herren";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001190869"
